#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.252	0.15	0.0269795	4	1.93692	4	
0.254	0.15	0.0175441	3	1.93165	4	
0.256	0.15	0.00810915	4	1.92639	4	
0.258	0.15	0.00132545	4	1.92113	4	
0.26	0.15	0.0107596	4	1.91588	4	
0.262	0.15	0.0201934	4	1.91063	4	
0.264	0.15	0.0296268	3	1.90539	4	
0.266	0.15	0.0142517	4	1.90015	4	
0.268	0.15	0.00489396	3	1.89492	4	
0.27	0.15	0.00446208	3	1.88969	4	
0.272	0.15	0.0138164	4	1.88447	4	
0.274	0.15	0.0231691	4	1.87926	4	
0.276	0.15	0.00898846	4	1.87405	4	
0.278	0.15	0.000445988	4	1.86884	4	
0.28	0.15	0.00988003	4	1.86364	4	
0.282	0.15	0.0193137	3	1.85844	4	
0.284	0.15	0.0287469	3	1.85325	4	
0.286	0.15	0.0381796	3	1.84807	4	
0.288	0.15	0.047612	3	1.84289	4	

0.24	0.16	0.0802693	3	1.98329	4	
0.242	0.16	0.0708357	3	1.978	4	
0.244	0.16	0.0614024	3	1.97271	4	
0.246	0.16	0.0519695	3	1.96742	4	
0.248	0.16	0.042537	3	1.96214	4	
0.25	0.16	0.0331049	4	1.95687	4	
0.252	0.16	0.0236732	3	1.9516	4	
0.254	0.16	0.014242	4	1.94634	4	
0.256	0.16	0.00481116	4	1.94108	4	
0.258	0.16	0.00461922	4	1.93583	4	
0.26	0.16	0.0140491	4	1.93058	4	
0.262	0.16	0.0234786	3	1.92533	4	
0.264	0.16	0.0242906	3	1.9201	4	
0.266	0.16	0.0149458	4	1.91486	4	
0.268	0.16	0.0056028	4	1.90964	4	
0.27	0.16	0.0037383	3	1.90442	4	
0.272	0.16	0.0130775	4	1.8992	4	
0.274	0.16	0.0224147	4	1.89399	4	
0.276	0.16	0.0120987	4	1.88878	4	
0.278	0.16	0.00266816	4	1.88358	4	
0.28	0.16	0.00676189	4	1.87838	4	
0.282	0.16	0.0161915	3	1.87319	4	
0.284	0.16	0.0256206	3	1.86801	4	
0.286	0.16	0.0350492	4	1.86282	4	
0.288	0.16	0.0444773	3	1.85765	4	

0.24	0.17	0.0769278	3	1.99794	4	
0.242	0.17	0.0674983	4	1.99265	4	
0.244	0.17	0.0580691	3	1.98736	4	
0.246	0.17	0.0486404	3	1.98208	4	
0.248	0.17	0.0392121	3	1.97681	4	
0.25	0.17	0.0297843	3	1.97154	4	
0.252	0.17	0.020357	4	1.96627	4	
0.254	0.17	0.0109301	3	1.96101	4	
0.256	0.17	0.00150374	4	1.95576	4	
0.258	0.17	0.00792212	4	1.95051	4	
0.26	0.17	0.0173475	3	1.94527	4	
0.262	0.17	0.0267722	3	1.94003	4	
0.264	0.17	0.0250144	3	1.9348	4	
0.266	0.17	0.015685	3	1.92957	4	
0.268	0.17	0.00635775	4	1.92434	4	
0.27	0.17	0.00296742	4	1.91913	4	
0.272	0.17	0.0122904	4	1.91391	4	
0.274	0.17	0.0246326	4	1.90871	4	
0.276	0.17	0.0152058	4	1.9035	4	
0.278	0.17	0.00577947	3	1.89831	4	
0.28	0.17	0.00364634	4	1.89311	4	
0.282	0.17	0.0130716	4	1.88793	4	
0.284	0.17	0.0224964	3	1.88275	4	
0.286	0.17	0.0319206	3	1.87757	4	
0.288	0.17	0.0413442	4	1.8724	4	

0.24	0.18	0.0735745	3	2.01257	4	
0.242	0.18	0.0641492	3	2.00729	4	
0.244	0.18	0.0547245	4	2.00201	4	
0.246	0.18	0.0453002	3	1.99673	4	
0.248	0.18	0.0358765	3	1.99146	4	
0.25	0.18	0.0264532	4	1.9862	4	
0.252	0.18	0.0170305	3	1.98094	4	
0.254	0.18	0.00760834	4	1.97568	4	
0.256	0.18	0.00181327	4	1.97043	4	
0.258	0.18	0.0112343	4	1.96519	4	
0.26	0.18	0.0206547	3	1.95995	4	
0.262	0.18	0.0300746	3	1.95471	4	
0.264	0.18	0.0257825	4	1.94948	4	
0.266	0.18	0.0164695	3	1.94426	4	
0.268	0.18	0.00715888	4	1.93904	4	
0.27	0.18	0.00214937	4	1.93383	4	
0.272	0.18	0.0371554	3	1.92862	4	
0.274	0.18	0.0277324	4	1.92342	4	
0.276	0.18	0.0183099	4	1.91822	4	
0.278	0.18	0.00888803	3	1.91302	4	
0.28	0.18	0.00053332	4	1.90784	4	
0.282	0.18	0.00995409	4	1.90265	4	
0.284	0.18	0.0193743	3	1.89748	4	
0.286	0.18	0.0287938	3	1.8923	4	
0.288	0.18	0.0382128	3	1.88714	4	

0.24	0.19	0.070209	3	2.0272	4	
0.242	0.19	0.0607884	3	2.02192	4	
0.244	0.19	0.0513684	3	2.01664	4	
0.246	0.19	0.0419488	3	2.01137	4	
0.248	0.19	0.0325299	4	2.0061	4	
0.25	0.19	0.0231115	3	2.00084	4	
0.252	0.19	0.0136937	4	1.99559	4	
0.254	0.19	0.00427654	3	1.99034	4	
0.256	0.19	0.00514	4	1.98509	4	
0.258	0.19	0.0145559	4	1.97985	4	
0.26	0.19	0.0239711	4	1.97462	4	
0.262	0.19	0.035893	3	1.96939	4	
0.264	0.19	0.0265949	4	1.96416	4	
0.266	0.19	0.0172993	3	1.95894	4	
0.268	0.19	0.00800628	4	1.95373	4	
0.27	0.19	0.00128407	4	1.94852	4	
0.272	0.19	0.0105717	4	1.94331	4	
0.274	0.19	0.0198565	4	1.93812	4	
0.276	0.19	0.0214112	3	1.93292	4	
0.278	0.19	0.0119939	3	1.92773	4	
0.28	0.19	0.00257727	4	1.92255	4	
0.282	0.19	0.00683875	4	1.91737	4	
0.284	0.19	0.0162541	3	1.9122	4	
0.286	0.19	0.0256688	3	1.90703	4	
0.288	0.19	0.0350828	3	1.90186	4	

0.24	0.2	0.0668314	3	2.04181	4	
0.242	0.2	0.0574157	3	2.03654	4	
0.244	0.2	0.0480005	3	2.03126	4	
0.246	0.2	0.0385861	3	2.026	4	
0.248	0.2	0.0291722	4	2.02074	4	
0.25	0.2	0.019759	3	2.01548	4	
0.252	0.2	0.0103464	3	2.01023	4	
0.254	0.2	0.000934554	4	2.00498	4	
0.256	0.2	0.0084766	4	1.99974	4	
0.258	0.2	0.017887	4	1.99451	4	
0.26	0.2	0.0272967	3	1.98928	4	
0.262	0.2	0.0367317	3	1.98405	4	
0.264	0.2	0.0274517	4	1.97883	4	
0.266	0.2	0.0181744	3	1.97361	4	
0.268	0.2	0.00890003	4	1.9684	4	
0.27	0.2	0.000371428	4	1.9632	4	
0.272	0.2	0.00963987	4	1.958	4	
0.274	0.2	0.0189052	4	1.9528	4	
0.276	0.2	0.0281674	3	1.94761	4	
0.278	0.2	0.0150973	3	1.94243	4	
0.28	0.2	0.00568553	4	1.93725	4	
0.282	0.2	0.00372552	4	1.93207	4	
0.284	0.2	0.0131358	4	1.9269	4	
0.286	0.2	0.0225454	3	1.92174	4	
0.288	0.2	0.0319542	3	1.91658	4	

0.24	0.21	0.0634413	3	2.05642	4	
0.242	0.21	0.0540308	3	2.05114	4	
0.244	0.21	0.0446209	4	2.04588	4	
0.246	0.21	0.0352117	3	2.04062	4	
0.248	0.21	0.0258032	3	2.03536	4	
0.25	0.21	0.0163955	3	2.03011	4	
0.252	0.21	0.00698847	4	2.02486	4	
0.254	0.21	0.00241778	4	2.01962	4	
0.256	0.21	0.0118232	4	2.01438	4	
0.258	0.21	0.0212279	3	2.00915	4	
0.26	0.21	0.0306317	3	2.00392	4	
0.262	0.21	0.037614	4	1.9987	4	
0.264	0.21	0.028353	3	1.99349	4	
0.266	0.21	0.019095	4	1.98828	4	
0.268	0.21	0.00984021	4	1.98307	4	
0.27	0.21	0.000588639	4	1.96853	5	
0.272	0.21	0.0086596	3	1.96338	5	
0.274	0.21	0.0179044	4	1.95824	5	
0.276	0.21	0.0271457	4	1.95311	5	
0.278	0.21	0.0181981	3	1.94798	5	
