#1:k	2:erg1	3:erg2	4:erg3
4.1678	-0.94371	-0.855343	0.94371

4.1804	-0.956085	-0.861798	0.956085

4.19299	-0.968514	-0.868116	0.968514

4.20558	-0.980996	-0.874297	0.980996

4.21817	-0.99353	-0.88034	0.99353

4.23076	-1.00611	-0.886242	1.00611

4.24335	-1.01875	-0.892005	1.01875

4.25595	-1.03143	-0.897626	1.03143

4.26854	-1.04415	-0.903104	1.04415

4.28113	-1.05692	-0.908439	1.05692

4.29372	-1.06974	-0.913631	1.06974

4.30631	-1.08259	-0.918677	1.08259

4.3189	-1.09549	-0.923578	1.09549

4.33149	-1.10842	-0.928332	1.10842

4.34409	-1.12139	-0.93294	1.12139

4.35668	-1.1344	-0.937399	1.1344

4.36927	-1.14744	-0.94171	1.14744

4.38186	-1.16051	-0.945871	1.16051

4.39445	-1.17362	-0.949882	1.17362

4.40704	-1.18675	-0.953743	1.18675

4.41964	-1.19992	-0.957453	1.19992

4.43223	-1.2131	-0.961011	1.2131

4.44482	-1.22632	-0.964416	1.22632

4.45741	-1.23956	-0.967669	1.23956

4.47	-1.25281	-0.970768	1.25281

4.48259	-1.26609	-0.973713	1.26609

4.49518	-1.27939	-0.976504	1.27939

4.50778	-1.2927	-0.97914	1.2927

4.52037	-1.30603	-0.981621	1.30603

4.53296	-1.31938	-0.983946	1.31938

4.54555	-1.33273	-0.986115	1.33273

4.55814	-1.34609	-0.988128	1.34609

4.57073	-1.35947	-0.989984	1.35947

4.58333	-1.37285	-0.991683	1.37285

4.59592	-1.38623	-0.993225	1.38623

4.60851	-1.39962	-0.994609	1.39962

4.6211	-1.41301	-0.995836	1.41301

4.63369	-1.4264	-0.996905	1.4264

4.64628	-1.43978	-0.997816	1.43978

4.65887	-1.45317	-0.998568	1.45317

4.67147	-1.46655	-0.999163	1.46655

4.68406	-1.47992	-0.999599	1.47992

4.69665	-1.49328	-0.999876	1.49328

4.70924	-1.50663	-0.999995	1.50663

4.72183	-1.51997	-0.999955	1.51997

4.73442	-1.53329	-0.999757	1.53329

4.74702	-1.5466	-0.999401	1.5466

4.75961	-1.55989	-0.998885	1.55989

4.7722	-1.57317	-0.998212	1.57317

4.78479	-1.58642	-0.99738	1.58642

4.79738	-1.59964	-0.99639	1.59964

4.80997	-1.61284	-0.995242	1.61284

4.82257	-1.62602	-0.993937	1.62602

4.83516	-1.63917	-0.992474	1.63917

4.84775	-1.65228	-0.990853	1.65228

4.86034	-1.66537	-0.989075	1.66537

4.87293	-1.67842	-0.987141	1.67842

4.88552	-1.69143	-0.98505	1.69143

4.89811	-1.70441	-0.982803	1.70441

4.91071	-1.71735	-0.9804	1.71735

4.9233	-1.73024	-0.977841	1.73024

4.93589	-1.7431	-0.975128	1.7431

4.94848	-1.75591	-0.97226	1.75591

4.96107	-1.76867	-0.969237	1.76867

4.97366	-1.78138	-0.966061	1.78138

4.98626	-1.79405	-0.962732	1.79405

4.99885	-1.80666	-0.959251	1.80666

5.01144	-1.81922	-0.955617	1.81922

5.02403	-1.83172	-0.951832	1.83172

5.03662	-1.84417	-0.947896	1.84417

5.04921	-1.85656	-0.943809	1.85656

5.0618	-1.86888	-0.939573	1.86888

5.0744	-1.88115	-0.935188	1.88115

5.08699	-1.89335	-0.930655	1.89335

5.09958	-1.90548	-0.925974	1.90548

5.11217	-1.91755	-0.921146	1.91755

5.12476	-1.92954	-0.916172	1.92954

5.13735	-1.94147	-0.911053	1.94147

5.14995	-1.95332	-0.90579	1.95332

5.16254	-1.9651	-0.900383	1.9651

5.17513	-1.97681	-0.894833	1.97681

5.18772	-1.98843	-0.889141	1.98843

5.20031	-1.99998	-0.883309	1.99998

5.2129	-2.01144	-0.877336	2.01144

5.22549	-2.02282	-0.871224	2.02282

5.23809	-2.03412	-0.864974	2.03412

5.25068	-2.04533	-0.858587	2.04533

5.26327	-2.05645	-0.852064	2.05645

5.27586	-2.06748	-0.845406	2.06748

5.28845	-2.07843	-0.838613	2.07843

5.30104	-2.08928	-0.831688	2.08928

5.31364	-2.10003	-0.824631	2.10003

5.32623	-2.11069	-0.817443	2.11069

5.33882	-2.12125	-0.810126	2.12125

5.35141	-2.13172	-0.80268	2.13172

5.364	-2.14208	-0.795107	2.14208

5.37659	-2.15234	-0.787407	2.15234

5.38918	-2.1625	-0.779583	2.1625

5.40178	-2.17255	-0.771636	2.17255

5.41437	-2.1825	-0.763566	2.1825

5.42696	-2.19234	-0.755375	2.19234

5.43955	-2.20207	-0.747064	2.20207

5.45214	-2.21169	-0.738635	2.21169

5.46473	-2.22119	-0.730088	2.22119

5.47733	-2.23059	-0.721426	2.23059

5.48992	-2.23987	-0.71265	2.23987

5.50251	-2.24903	-0.70376	2.24903

5.5151	-2.25807	-0.694759	2.25807

5.52769	-2.267	-0.685648	2.267

5.54028	-2.2758	-0.676428	2.2758

5.55288	-2.28449	-0.667101	2.28449

5.56547	-2.29305	-0.657668	2.29305

5.57806	-2.30148	-0.648131	2.30148

5.59065	-2.30979	-0.638491	2.30979

5.60324	-2.31798	-0.628749	2.31798

5.61583	-2.32603	-0.618909	2.32603

5.62842	-2.33396	-0.60897	2.33396

5.64102	-2.34176	-0.598934	2.34176

5.65361	-2.34942	-0.588803	2.34942

5.6662	-2.35696	-0.57858	2.35696

5.67879	-2.36436	-0.568264	2.36436

5.69138	-2.37162	-0.557858	2.37162

5.70397	-2.37875	-0.547364	2.37875

5.71657	-2.38574	-0.536783	2.38574

5.72916	-2.3926	-0.526117	2.3926

5.74175	-2.39931	-0.515368	2.39931

5.75434	-2.40589	-0.504537	2.40589

5.76693	-2.41232	-0.493626	2.41232

5.77952	-2.41861	-0.482636	2.41861

5.79211	-2.42476	-0.47157	2.42476

5.80471	-2.43077	-0.46043	2.43077

5.8173	-2.43663	-0.449216	2.43663

5.82989	-2.44234	-0.437931	2.44234

5.84248	-2.44791	-0.426577	2.44791

5.85507	-2.45333	-0.415155	2.45333

5.86766	-2.45861	-0.403667	2.45861

5.88026	-2.46373	-0.392115	2.46373

5.89285	-2.46871	-0.380501	2.46871

5.90544	-2.47353	-0.368827	2.47353

5.91803	-2.47821	-0.357094	2.47821

5.93062	-2.48273	-0.345305	2.48273

5.94321	-2.4871	-0.333461	2.4871

5.9558	-2.49131	-0.321564	2.49131

5.9684	-2.49537	-0.309616	2.49537

5.98099	-2.49928	-0.297619	2.49928

5.99358	-2.50304	-0.285574	2.50304

6.00617	-2.50663	-0.273485	2.50663

