#1:kx	2:ky	3:max_coef	4:target_bands
0.314159	0.188496	0.0620876	(0, 1, 2, 3, 4)
0.314159	0.20944	0.062101	(0, 1, 2, 3, 4)
0.314159	0.230383	0.0621159	(0, 1, 2, 3, 4)
0.314159	0.251327	0.0621321	(0, 1, 2, 3, 4)
0.314159	0.272271	0.0621498	(0, 1, 2, 3, 4)
0.314159	0.293215	0.0621687	(0, 1, 2, 3, 4)
0.314159	0.314159	0.062189	(0, 1, 2, 3, 4)
0.314159	0.335103	0.0622107	(0, 1, 2, 3, 4)
0.314159	0.356047	0.0622337	(0, 1, 2, 3, 4)
0.314159	0.376991	0.062258	(0, 1, 2, 3, 4)
0.314159	0.397935	0.0622836	(0, 1, 2, 3, 4)

0.335103	0	0.0583095	(0, 1, 2, 3, 4)
0.335103	0.020944	0.0583103	(0, 1, 2, 3, 4)
0.335103	0.0418879	0.0583126	(0, 1, 2, 3, 4)
0.335103	0.0628319	0.0583165	(0, 1, 2, 3, 4)
0.335103	0.0837758	0.058322	(0, 1, 2, 3, 4)
0.335103	0.10472	0.058329	(0, 1, 2, 3, 4)
0.335103	0.125664	0.0583376	(0, 1, 2, 3, 4)
0.335103	0.146608	0.0583478	(0, 1, 2, 3, 4)
0.335103	0.167552	0.0583594	(0, 1, 2, 3, 4)
0.335103	0.188496	0.0583726	(0, 1, 2, 3, 4)
0.335103	0.20944	0.0583873	(0, 1, 2, 3, 4)
0.335103	0.230383	0.0584036	(0, 1, 2, 3, 4)
0.335103	0.251327	0.0584213	(0, 1, 2, 3, 4)
0.335103	0.272271	0.0584406	(0, 1, 2, 3, 4)
0.335103	0.293215	0.0584613	(0, 1, 2, 3, 4)
0.335103	0.314159	0.0584835	(0, 1, 2, 3, 4)
0.335103	0.335103	0.0585071	(0, 1, 2, 3, 4)
0.335103	0.356047	0.0585322	(0, 1, 2, 3, 4)
0.335103	0.376991	0.0585587	(0, 1, 2, 3, 4)
0.335103	0.397935	0.0585865	(0, 1, 2, 3, 4)

0.356047	0	0.0539434	(0, 1, 2, 3, 4)
0.356047	0.020944	0.0539443	(0, 1, 2, 3, 4)
0.356047	0.0418879	0.053947	(0, 1, 2, 3, 4)
0.356047	0.0628319	0.0539516	(0, 1, 2, 3, 4)
0.356047	0.0837758	0.053958	(0, 1, 2, 3, 4)
0.356047	0.10472	0.0539662	(0, 1, 2, 3, 4)
0.356047	0.125664	0.0539762	(0, 1, 2, 3, 4)
0.356047	0.146608	0.053988	(0, 1, 2, 3, 4)
0.356047	0.167552	0.0540016	(0, 1, 2, 3, 4)
0.356047	0.188496	0.054017	(0, 1, 2, 3, 4)
0.356047	0.20944	0.0540341	(0, 1, 2, 3, 4)
0.356047	0.230383	0.054053	(0, 1, 2, 3, 4)
0.356047	0.251327	0.0540737	(0, 1, 2, 3, 4)
0.356047	0.272271	0.0540961	(0, 1, 2, 3, 4)
0.356047	0.293215	0.0541201	(0, 1, 2, 3, 4)
0.356047	0.314159	0.0541459	(0, 1, 2, 3, 4)
0.356047	0.335103	0.0541734	(0, 1, 2, 3, 4)
0.356047	0.356047	0.0542025	(0, 1, 2, 3, 4)
0.356047	0.376991	0.0542332	(0, 1, 2, 3, 4)
0.356047	0.397935	0.0542656	(0, 1, 2, 3, 4)

0.376991	0	0.0517853	(0, 1, 3, 4, 5)
0.376991	0.020944	0.0487715	(0, 1, 2, 3, 4)
0.376991	0.0418879	0.048775	(0, 1, 2, 3, 4)
0.376991	0.0628319	0.0487806	(0, 1, 2, 3, 4)
0.376991	0.0837758	0.0487886	(0, 1, 2, 3, 4)
0.376991	0.10472	0.0487988	(0, 1, 2, 3, 4)
0.376991	0.125664	0.0488112	(0, 1, 2, 3, 4)
0.376991	0.146608	0.0488259	(0, 1, 2, 3, 4)
0.376991	0.167552	0.0488429	(0, 1, 2, 3, 4)
0.376991	0.188496	0.048862	(0, 1, 2, 3, 4)
0.376991	0.20944	0.0488833	(0, 1, 2, 3, 4)
0.376991	0.230383	0.0489068	(0, 1, 2, 3, 4)
0.376991	0.251327	0.0489324	(0, 1, 2, 3, 4)
0.376991	0.272271	0.0489602	(0, 1, 2, 3, 4)
0.376991	0.293215	0.04899	(0, 1, 2, 3, 4)
0.376991	0.314159	0.049022	(0, 1, 2, 3, 4)
0.376991	0.335103	0.0490559	(0, 1, 2, 3, 4)
0.376991	0.356047	0.0490919	(0, 1, 2, 3, 4)
0.376991	0.376991	0.0491299	(0, 1, 2, 3, 4)
0.376991	0.397935	0.0491699	(0, 1, 2, 3, 4)

0.397935	0	0.0523754	(0, 1, 3, 4, 5)
0.397935	0.020944	0.0427954	(0, 1, 2, 3, 4)
0.397935	0.0418879	0.0427998	(0, 1, 2, 3, 4)
0.397935	0.0628319	0.0428071	(0, 1, 2, 3, 4)
0.397935	0.0837758	0.0428174	(0, 1, 2, 3, 4)
0.397935	0.10472	0.0428305	(0, 1, 2, 3, 4)
0.397935	0.125664	0.0428465	(0, 1, 2, 3, 4)
0.397935	0.146608	0.0428654	(0, 1, 2, 3, 4)
0.397935	0.167552	0.0428872	(0, 1, 2, 3, 4)
0.397935	0.188496	0.0429118	(0, 1, 2, 3, 4)
0.397935	0.20944	0.0429391	(0, 1, 2, 3, 4)
0.397935	0.230383	0.0429693	(0, 1, 2, 3, 4)
0.397935	0.251327	0.0430022	(0, 1, 2, 3, 4)
0.397935	0.272271	0.0430378	(0, 1, 2, 3, 4)
0.397935	0.293215	0.043076	(0, 1, 2, 3, 4)
0.397935	0.314159	0.0431169	(0, 1, 2, 3, 4)
0.397935	0.335103	0.0431604	(0, 1, 2, 3, 4)
0.397935	0.356047	0.0432064	(0, 1, 2, 3, 4)
0.397935	0.376991	0.0432549	(0, 1, 2, 3, 4)
0.397935	0.397935	0.0433058	(0, 1, 2, 3, 4)

