#1:t	2:m	3:min_gap
3.86	0.3	0.168089
3.88	0.3	0.172223
3.9	0.3	0.147473
3.92	0.3	0.122972
3.94	0.3	0.0989091
3.96	0.3	0.0757008
3.98	0.3	0.054452

0	0.4	1.11577
0.02	0.4	1.02223
0.04	0.4	0.928712
0.06	0.4	0.835201
0.08	0.4	0.741708
0.1	0.4	0.648243
0.12	0.4	0.554818
0.14	0.4	0.46146
0.16	0.4	0.368214
0.18	0.4	0.275027
0.2	0.4	0.182001
0.22	0.4	0.0890782
0.24	0.4	0.0040426
0.26	0.4	0.0715126
0.28	0.4	0.0152121
0.3	0.4	0.0255633
0.32	0.4	0.117342
0.34	0.4	0.209153
0.36	0.4	0.300411
0.38	0.4	0.390936
0.4	0.4	0.476182
0.42	0.4	0.52557
0.44	0.4	0.552804
0.46	0.4	0.54975
0.48	0.4	0.521782
0.5	0.4	0.482391
0.52	0.4	0.438682
0.54	0.4	0.393286
0.56	0.4	0.347227
0.58	0.4	0.300949
0.6	0.4	0.254735
0.62	0.4	0.20867
0.64	0.4	0.162799
0.66	0.4	0.117288
0.68	0.4	0.0721353
0.7	0.4	0.0273503
0.72	0.4	0.0176927
0.74	0.4	0.062341
0.76	0.4	0.105745
0.78	0.4	0.149211
0.8	0.4	0.192479
0.82	0.4	0.23546
0.84	0.4	0.210805
0.86	0.4	0.172187
0.88	0.4	0.135612
0.9	0.4	0.101838
0.92	0.4	0.0719647
0.94	0.4	0.0476729
0.96	0.4	0.0309808
0.98	0.4	0.0137757
1	0.4	0.021726
1.02	0.4	0.020902
1.04	0.4	0.0147885
1.06	0.4	0.00208052
1.08	0.4	0.0177475
1.1	0.4	0.0413515
1.12	0.4	0.0678961
1.14	0.4	0.0964269
1.16	0.4	0.126281
1.18	0.4	0.157078
1.2	0.4	0.188539
1.22	0.4	0.16886
1.24	0.4	0.131668
1.26	0.4	0.0945833
1.28	0.4	0.0578947
1.3	0.4	0.0226222
1.32	0.4	0.0196198
1.34	0.4	0.0541442
1.36	0.4	0.0900733
1.38	0.4	0.126065
1.4	0.4	0.161966
1.42	0.4	0.197736
1.44	0.4	0.233363
1.46	0.4	0.268842
1.48	0.4	0.304172
1.5	0.4	0.339353
1.52	0.4	0.374388
1.54	0.4	0.409279
1.56	0.4	0.444026
1.58	0.4	0.478634
1.6	0.4	0.513103
1.62	0.4	0.547437
1.64	0.4	0.581638
1.66	0.4	0.615708
1.68	0.4	0.64965
