#1:t	2:m	3:min_gap
-0.82	-1.4	0.00601938
-0.8	-1.4	0.0287192
-0.78	-1.4	0.0592122
-0.76	-1.4	0.0898647
-0.74	-1.4	0.119648
-0.72	-1.4	0.148241
-0.7	-1.4	0.175618
-0.68	-1.4	0.200968
-0.66	-1.4	0.224328
-0.64	-1.4	0.244866
-0.62	-1.4	0.262244
-0.6	-1.4	0.275538
-0.58	-1.4	0.283956
-0.56	-1.4	0.286447
-0.54	-1.4	0.282115
-0.52	-1.4	0.269951
-0.5	-1.4	0.249499
-0.48	-1.4	0.22061
-0.46	-1.4	0.183621
-0.44	-1.4	0.139138
-0.42	-1.4	0.0881893
-0.4	-1.4	0.0314595
-0.38	-1.4	0.0300031
-0.36	-1.4	0.0954313
-0.34	-1.4	0.164052
-0.32	-1.4	0.235455
-0.3	-1.4	0.309128
-0.28	-1.4	0.384745
-0.26	-1.4	0.461909
-0.24	-1.4	0.526393
-0.22	-1.4	0.473657
-0.2	-1.4	0.409728
-0.18	-1.4	0.339339
-0.16	-1.4	0.265092
-0.14	-1.4	0.188391
-0.12	-1.4	0.110041
-0.1	-1.4	0.0307678
-0.08	-1.4	0.0497097
-0.06	-1.4	0.130512
-0.04	-1.4	0.211573
-0.02	-1.4	0.292914
8.88178e-16	-1.4	0.374363
0.02	-1.4	0.292914
0.04	-1.4	0.211573
0.06	-1.4	0.130512
0.08	-1.4	0.0497098
0.1	-1.4	0.0307681
0.12	-1.4	0.110041
0.14	-1.4	0.188391
0.16	-1.4	0.265092
0.18	-1.4	0.339339
0.2	-1.4	0.409728
0.22	-1.4	0.473657
0.24	-1.4	0.526393
0.26	-1.4	0.461908
0.28	-1.4	0.384746
0.3	-1.4	0.309128
0.32	-1.4	0.235455
0.34	-1.4	0.164051
0.36	-1.4	0.09543
0.38	-1.4	0.0300045
0.4	-1.4	0.0314605
0.42	-1.4	0.088188
0.44	-1.4	0.139138
0.46	-1.4	0.183621
0.48	-1.4	0.22061
0.5	-1.4	0.249499
0.52	-1.4	0.26995
0.54	-1.4	0.282116
0.56	-1.4	0.286446
0.58	-1.4	0.283956
0.6	-1.4	0.275538
0.62	-1.4	0.262243
0.64	-1.4	0.244866
0.66	-1.4	0.224329
0.68	-1.4	0.200967
0.7	-1.4	0.17562
0.72	-1.4	0.148241
0.74	-1.4	0.119649
0.76	-1.4	0.0898655
0.78	-1.4	0.05921
0.8	-1.4	0.0287314
0.82	-1.4	0.00598774
0.84	-1.4	0.0370368
0.86	-1.4	0.0701463
0.88	-1.4	0.103472
0.9	-1.4	0.136988
0.92	-1.4	0.170724
0.94	-1.4	0.204716
0.96	-1.4	0.239004
0.98	-1.4	0.258081

-1	-1.3	0.223837
-0.98	-1.3	0.22349
-0.96	-1.3	0.197223
-0.94	-1.3	0.162662
-0.92	-1.3	0.127675
-0.9	-1.3	0.0929785
-0.88	-1.3	0.0585335
-0.86	-1.3	0.0243027
-0.84	-1.3	0.00980831
-0.82	-1.3	0.0437333
-0.8	-1.3	0.0766527
-0.78	-1.3	0.109115
-0.76	-1.3	0.140934
-0.74	-1.3	0.171978
-0.72	-1.3	0.201935
-0.7	-1.3	0.230624
-0.68	-1.3	0.257565
-0.66	-1.3	0.282316
-0.64	-1.3	0.30455
-0.62	-1.3	0.323346
-0.6	-1.3	0.338068
-0.58	-1.3	0.347688
-0.56	-1.3	0.350942
-0.54	-1.3	0.346799
-0.52	-1.3	0.334217
-0.5	-1.3	0.312489
-0.48	-1.3	0.281624
-0.46	-1.3	0.242021
-0.44	-1.3	0.194674
-0.42	-1.3	0.140472
-0.4	-1.3	0.0807858
-0.38	-1.3	0.0165506
-0.36	-1.3	0.0520726
-0.34	-1.3	0.123406
-0.32	-1.3	0.197395
-0.3	-1.3	0.273435
-0.28	-1.3	0.351299
-0.26	-1.3	0.430519
-0.24	-1.3	0.440443
-0.22	-1.3	0.386308
-0.2	-1.3	0.319602
-0.18	-1.3	0.247051
-0.16	-1.3	0.171038
-0.14	-1.3	0.092815
-0.12	-1.3	0.0133238
